OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
6384,23676000,23676000,MARIPOSA,ST,TEXAS,ST, , , , ,9322,1,0,0,3,332426,884,0,0,POINT (-122.39568231738724 37.76390698617991)
3906,25815000,25815000,18TH,ST,COLLINGWOOD,ST, , , , ,2965,0,1,1,2,1259929,2681,6,9.52000046,POINT (-122.43611410842541 37.7608239947556)
3661,27784000,27784000,39TH,AVE,KIRKHAM,ST, , , , ,627,0,0,0,10,267459,1345,0,0,POINT (-122.49829318663302 37.758887611673835)
1934,23449000,23449000,WAWONA,ST,44TH,AVE, , , , ,706,0,0,0,1,299556,949,0,0,POINT (-122.50208403124203 37.73627632522107)
153,21562000,21562000,MONETA,CT,MONETA,WAY, , , , ,695,0,0,0,14,262324,1232,0,0,POINT (-122.44945061926917 37.71313040258921)
4998,26849000,26849000,PRESIDIO,AVE,SACRAMENTO,ST, , , , ,2167,0,0,0,10,3386955,2691,1,0.58999997,POINT (-122.44697416643393 37.78818646026379)
1571,20046000,20046000,DORMITORY,RD,KIRKWOOD,AVE,KISKA,RD, , ,738,0,0,0,7,89400,519,0,0,POINT (-122.37492808059079 37.729659693331584)
4007,21850000,21850000,MARSILY,ST,BOSWORTH,ST, , , , ,540,0,0,1,19,205556,1436,0,0,POINT (-122.42769501532817 37.73355362783926)
3738,51488000,51488000,15TH,AVE,NORTH 15TH,AVE, , , , ,33,0,0,0,16,207478,967,0,0,POINT (-122.47442698281029 37.78697527003691)
7680,33719000,33719000,WINSTON,DR,20TH,AVE, , , , ,22679,1,0,0,15,1524652,398,4,5.25,POINT (-122.47603947189234 37.72694991361025)
6166,51190000,51190000,CLARKE,ST,LIGGETT,AVE,UNNAMED 142,0, , ,221,0,0,0,9,148835,230,0,0,POINT (-122.45029798303406 37.79363838904374)
5380,33360000,33360000,UNNAMED 068,0,BRUNSWICK,ST, , , , ,145,0,0,0,4,60723,1449,0,0,POINT (-122.4416595160089 37.711073370683465)
8003,26998000,26998000,DIVISADERO,ST,JEFFERSON,ST, , , , ,606,0,0,0,23,617902,2811,0,0,POINT (-122.44379196715145 37.804637872523564)
3018,23686000,23686000,26TH,ST,WISCONSIN,ST, , , , ,11667,0,0,0,1,141574,853,0,0,POINT (-122.39834077980122 37.751054606013625)
2523,33593000,33593000,UNNAMED 039,0,PORTOLA,DR, , , , ,1457,0,0,0,1,1021008,669,0,0,POINT (-122.45446744604436 37.74371814269083)
4305,23173000,23173000,22ND,AVE,WAWONA,ST, , , , ,360,0,0,0,10,236003,645,0,0,POINT (-122.47850015007576 37.73731300473556)
7604,26186000,26186000,CASELLI,AVE,EAGLE,ST, , , , ,1493,0,0,1,11,68347,2115,0,0,POINT (-122.44433434616597 37.75859229759752)
2733,33498000,33498000,GLENVIEW,DR,PORTOLA,DR, , , , ,2152,0,0,0,3,972061,1546,0,0,POINT (-122.4477861057519 37.746438159495156)
229,20322000,20322000,ALPHA,ST,TEDDY,AVE, , , , ,377,0,0,0,13,71451,1319,0,0,POINT (-122.40445834173441 37.71383937461746)
6777,25671000,25671000,20TH,ST,GUERRERO,ST, , , , ,2104,0,0,1,9,877014,2861,1,2.27999997,POINT (-122.42348853100502 37.75836454883166)
